Src	Eqid	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
ak	10075408	1	"Wednesday, September  1, 2010 04:28:49 UTC"	61.5987	-146.4465	2.1	27.3	30	Southern Alaska
ak	10075405	2	"Wednesday, September  1, 2010 03:38:14 UTC"	59.9949	-152.1092	1.7	73.9	12	Southern Alaska
ci	10790389	4	"Wednesday, September  1, 2010 03:31:54 UTC"	32.6773	-115.8208	1.4	7	20	Southern California
ci	10790373	4	"Wednesday, September  1, 2010 03:13:48 UTC"	32.2762	-115.3292	1.9	10	11	"Baja California, Mexico"
ci	10790381	2	"Wednesday, September  1, 2010 03:12:22 UTC"	32.5953	-115.8088	1.4	5.7	15	"Baja California, Mexico"
ak	10075402	1	"Wednesday, September  1, 2010 03:10:09 UTC"	61.3658	-141.2019	1	35.1	8	Southern Alaska
us	2010arak	6	"Wednesday, September  1, 2010 02:57:38 UTC"	12.8675	142.9642	4.9	157.3	132	Mariana Islands region
ci	10790357	4	"Wednesday, September  1, 2010 02:35:22 UTC"	36.0078	-117.4107	1.5	7.2	17	Central California
pr	10244000	0	"Wednesday, September  1, 2010 02:21:30 UTC"	18.666	-65.178	3.1	30.9	7	Puerto Rico region
uu	9010208	2	"Wednesday, September  1, 2010 02:08:52 UTC"	39.7052	-111.2328	1.5	1.7	20	Utah
ak	10075398	2	"Wednesday, September  1, 2010 01:59:00 UTC"	52.6226	-169.4069	2.5	5.7	6	"Fox Islands, Aleutian Islands, Alaska"
ak	10075397	2	"Wednesday, September  1, 2010 01:53:18 UTC"	52.6536	-169.5096	1.9	6.7	5	"Fox Islands, Aleutian Islands, Alaska"
ak	10075395	1	"Wednesday, September  1, 2010 01:51:27 UTC"	62.6819	-149.7908	2.2	34.2	21	Central Alaska
us	2010arai	6	"Wednesday, September  1, 2010 01:46:21 UTC"	-6.8772	150.2424	5.1	40.3	49	"New Britain region, Papua New Guinea"
ak	10075394	2	"Wednesday, September  1, 2010 01:29:19 UTC"	56.6262	-170.7605	3.3	30.8	7	"Pribilof Islands, Alaska region"
nc	71449220	B	"Wednesday, September  1, 2010 01:26:55 UTC"	37.9865	-122.0675	3	15.6	140	"San Francisco Bay area, California"
nc	71449215	0	"Wednesday, September  1, 2010 00:56:40 UTC"	38.8143	-122.8123	1.6	2.8	13	Northern California
us	2010arag	7	"Wednesday, September  1, 2010 00:46:30 UTC"	35.633	-97.2057	3.1	5	13	Oklahoma
ci	10790349	4	"Wednesday, September  1, 2010 00:42:00 UTC"	32.7553	-115.8703	2.2	6.3	39	Southern California
ci	10790341	4	"Tuesday, August 31, 2010 23:27:12 UTC"	33.325	-116.384	1.2	8.8	39	Southern California
ci	10790333	2	"Tuesday, August 31, 2010 23:19:42 UTC"	35.0402	-117.6743	1.4	0	13	Southern California
ak	10075381	1	"Tuesday, August 31, 2010 23:01:19 UTC"	64.9059	-147.4414	1.1	6.8	8	Central Alaska
nc	71449170	1	"Tuesday, August 31, 2010 22:35:06 UTC"	37.4767	-121.8048	1.9	7.3	38	"San Francisco Bay area, California"
ci	10790293	4	"Tuesday, August 31, 2010 22:28:33 UTC"	32.7228	-115.9495	1.2	3.9	17	Southern California
ci	10790253	4	"Tuesday, August 31, 2010 22:00:42 UTC"	32.7207	-115.9587	1.5	3.7	29	Southern California
ak	10075281	2	"Tuesday, August 31, 2010 21:57:27 UTC"	51.4926	179.3866	2.7	60.8	12	"Rat Islands, Aleutian Islands, Alaska"
ci	10790245	4	"Tuesday, August 31, 2010 21:55:27 UTC"	35.7837	-117.6412	1	0	6	Southern California
nc	71449140	0	"Tuesday, August 31, 2010 21:24:38 UTC"	36.5455	-121.1037	1.2	7.9	9	Central California
us	2010aqck	6	"Tuesday, August 31, 2010 21:16:01 UTC"	13.7384	144.9174	5	124.8	140	Guam region
ci	10790205	4	"Tuesday, August 31, 2010 21:12:21 UTC"	32.6338	-115.7465	1.5	2.9	15	"Baja California, Mexico"
ak	10075273	2	"Tuesday, August 31, 2010 21:09:43 UTC"	52.6456	-169.2577	2.1	6.8	7	"Fox Islands, Aleutian Islands, Alaska"
ci	10790181	2	"Tuesday, August 31, 2010 20:51:57 UTC"	32.3365	-115.4278	2.1	10	10	"Baja California, Mexico"
us	2010aqcj	8	"Tuesday, August 31, 2010 20:47:46 UTC"	-3.588	127.4183	5	53.1	73	"Seram, Indonesia"
ak	10075272	2	"Tuesday, August 31, 2010 20:34:52 UTC"	52.6205	-169.2222	2.4	16.1	7	"Fox Islands, Aleutian Islands, Alaska"
ci	10790173	2	"Tuesday, August 31, 2010 20:21:33 UTC"	32.2768	-115.395	2.2	10	11	"Baja California, Mexico"
nc	71449135	0	"Tuesday, August 31, 2010 19:55:27 UTC"	38.7922	-122.7468	1.2	1.7	11	Northern California
ak	10075268	1	"Tuesday, August 31, 2010 19:44:10 UTC"	61.5099	-146.4695	1.7	19.8	14	Southern Alaska
nc	71449155	2	"Tuesday, August 31, 2010 19:17:01 UTC"	37.6927	-119.3898	1.2	22.6	15	Central California
ci	36045759	2	"Tuesday, August 31, 2010 19:12:38 UTC"	32.6222	-115.7462	1.3	0.3	9	"Baja California, Mexico"
ci	10790125	4	"Tuesday, August 31, 2010 19:12:31 UTC"	33.2712	-116.3348	1.3	12.9	37	Southern California
