tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:12:08:43:00.00	35.3		g	-85.4	3.571e-07	24	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.380e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.3	2011:10:12:10:40:00.00	23.4		g	-52.9	5.612e-08	25	4	u	2.730e+02	SAN	0	0	0	0	7.380e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:12:12:26:00.00	23.0		g	-40.4	3.971e-08	26	4	u	2.730e+02	SAN	0	0	0	0	7.630e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.1	2011:10:12:14:14:00.00	27.8		g	-84.7	3.377e-07	27	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.130e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.1	2011:10:13:08:32:00.00	26.0		g	-86.2	3.746e-07	28	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.630e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:13:10:20:00.00	15.2		g	-86.3	3.694e-07	29	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.3	2011:10:13:12:09:00.00	21.4		g	-45.7	3.909e-08	30	4	u	2.730e+02	SAN	0	0	0	0	7.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.8	2011:10:13:14:00:00.00	21.4		g	-41.2	3.332e-08	31	4	u	2.730e+02	SAN	0	0	0	0	7.830e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:17:09:20:00.00	336.3		g	-87.3	3.903e-07	32	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.630e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:17:11:09:00.00	333.9		g	-86.8	3.742e-07	33	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.830e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.1	2011:10:17:13:04:00.00	28.5		g	-87.3	3.801e-07	34	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	7.930e+02
