tab	er_sites					
This study	Mitsero Kokkinoyia	mk107101	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107102	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107501	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107502	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107601	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107701	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107801	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107901	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk107902	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108001	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108101	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108102	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108401	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108402	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108501	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108502	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108801	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk108802	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk109301	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk1l3901	Archeologic	Not Specified	35.04213	33.10665
This study	Mitsero Kokkinoyia	mk1l3902	Archeologic	Not Specified	35.04213	33.10665
This study	Politiko Kokinorotsos	pk1l0102	Archeologic	Not Specified	35.09	32.885
This study	Politiko Kokinorotsos	pk1l0103	Archeologic	Not Specified	35.09	32.885
This study	Politiko Kokinorotsos	pk1l0104	Archeologic	Not Specified	35.09	32.885
This study	Politiko Kokinorotsos	pk1l0105	Archeologic	Not Specified	35.09	32.885
This study	Politiko Phorades	pp1l0001	Archeologic	Not Specified	35.09	32.885
This study	Politiko Phorades	pp1l0002	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100101	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100102	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100103	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100201	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100301	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100302	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100303	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100501	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100502	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100601	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100602	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100603	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100701	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100702	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100801	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100802	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100803	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100804	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100901	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100902	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100903	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp100904	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101001	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101002	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101003	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101101	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101102	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101103	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101104	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101201	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101202	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101203	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101301	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101302	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101901	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101902	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp101903	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102001	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102002	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102101	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102105	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102201	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102202	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102203	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102204	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102301	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102302	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102303	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102304	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102305	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102601	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102602	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102701	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102702	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102703	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp102704	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103001	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103002	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103003	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103004	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103101	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103102	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103201	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103202	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103301	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103302	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103303	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103401	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 1	sp103402	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 2	sp200101	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Phoenix 2	sp200301	Archeologic	Not Specified	35.09	32.885
This study	Skouriotissa Vouppes	su100201	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su100202	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su100203	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su100301	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su100501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su100601	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su100901	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su100902	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su101001	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su101201	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su101501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su101701	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su101801	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su102201	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su102301	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su102401	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su102501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su102801	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su102901	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su102902	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su103201	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su103502	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su103503	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su104101	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su104701	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su105001	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su105101	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su105301	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su105501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su106801	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su106802	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su106901	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107101	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107103	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107201	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107202	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107502	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107601	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su107602	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su108402	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su108801	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su108901	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109001	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109101	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109102	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109201	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109301	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109302	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109401	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109701	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109702	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su109801	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110001	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110002	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110101	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110201	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110301	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110401	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110402	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110502	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110701	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su110801	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su111401	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su111501	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su111601	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su111702	Archeologic	Not Specified	35.092	32.885
This study	Skouriotissa Vouppes	su111801	Archeologic	Not Specified	35.092	32.885
