tab	rmag_results
er_specimen_names	er_sample_name	er_site_name	anisotropy_type	magic_method_codes	magic_experiment_names	result_description	anisotropy_t1	anisotropy_t2	anisotropy_t3	anisotropy_ftest	anisotropy_ftest12	anisotropy_ftest23	anisotropy_v1_dec	anisotropy_v1_inc	anisotropy_v2_dec	anisotropy_v2_inc	anisotropy_v3_dec	anisotropy_v3_inc
su100902f	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902f:ATRM	Critical F: 3.1059	0.409581	0.351245	0.239174	79.464677	22.534481	83.169874	233.1	69.7	145.4	-0.9	235.7	-20.3
su100902a	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902a:ATRM	Critical F: 3.1059	0.432769	0.314883	0.252347	46.323466	47.936971	13.489857	12.1	13.7	323.9	-69.9	278.5	14.4
su100902c	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902c:ATRM	Critical F: 3.1059	0.452202	0.299183	0.248615	85.702888	111.617417	12.189531	142.7	-62.8	109.4	23.3	25.2	-13.4
su100902b	su100902	su1l005	ATRM	LP-AN-TRM:AE-H	su100902b:ATRM	Critical F: 3.1059	0.447670	0.377068	0.175262	113.911528	17.756243	145.073796	7.9	18.3	332.2	-67.8	273.8	12.1
su111601c	su111601	su1l404	ATRM	LP-AN-TRM:AE-H	su111601c:ATRM	Critical F: 3.1059	0.380118	0.328402	0.291480	13.795635	11.632513	5.929314	54.2	55.0	282.5	25.0	1.2	-22.8
su107101h	su107101	su1l102	ATRM	LP-AN-TRM:AE-H	su107101h:ATRM	Critical F: 3.1059	0.425577	0.382397	0.192025	65.293725	4.927288	95.774941	227.8	56.9	325.5	5.0	58.7	32.6
su107101c	su107101	su1l102	ATRM	LP-AN-TRM:AE-H	su107101c:ATRM	Critical F: 3.1059	0.357994	0.352528	0.289477	8.080127	0.104067	13.845902	32.7	-5.7	324.9	75.2	121.3	13.6
su107101b	su107101	su1l102	ATRM	LP-AN-TRM:AE-H	su107101b:ATRM	Critical F: 3.1059	0.344995	0.339087	0.315918	1.559729	0.144028	2.215572	105.6	41.9	159.6	-33.2	227.2	30.2
su107101b	su107101	su1l102	AARM	LP-AN-ARM:AE-H	su107101b:AARM	Critical F: 2.6848	0.355707	0.322600	0.321693	1.332734	2.430395	0.001825	313.0	-13.9	222.1	-3.7	297.5	75.6
su107101a	su107101	su1l102	ATRM	LP-AN-TRM:AE-H	su107101a:ATRM	Critical F: 3.1059	0.372642	0.339477	0.287881	17.154342	6.463510	15.644835	58.3	4.9	151.0	28.5	319.4	61.1
su101201d	su101201	su1l005	ATRM	LP-AN-TRM:AE-H	su101201d:ATRM	Critical F: 3.1059	0.354996	0.335220	0.309783	11.487356	5.465875	9.042883	22.6	53.4	306.3	-9.9	43.3	-34.8
su101201e	su101201	su1l005	ATRM	LP-AN-TRM:AE-H	su101201e:ATRM	Critical F: 3.1059	0.375851	0.322903	0.301246	15.568820	18.518798	3.097985	304.8	-58.4	254.7	21.5	173.8	-22.0
su101201f	su101201	su1l005	ATRM	LP-AN-TRM:AE-H	su101201f:ATRM	Critical F: 3.1059	0.358420	0.333763	0.307817	0.841175	0.499177	0.552763	10.6	1.1	280.4	6.7	110.0	83.2
su101201f	su101201	su1l005	AARM	LP-AN-ARM:AE-H	su101201f:AARM	Critical F: 2.6848	0.366212	0.321824	0.311963	3.514557	5.182424	0.255763	3.6	-4.9	88.7	45.2	278.4	44.4
su109001b	su109001	su1l512	ATRM	LP-AN-TRM:AE-H	su109001b:ATRM	Critical F: 3.1059	0.375577	0.355606	0.268817	30.531205	2.362400	44.616845	66.8	43.1	28.1	-39.8	136.3	-20.5
su109001c	su109001	su1l512	ATRM	LP-AN-TRM:AE-H	su109001c:ATRM	Critical F: 3.1059	0.346555	0.339383	0.314062	2.160464	0.238378	2.971062	21.6	23.3	262.2	48.8	127.1	31.8
su109001a	su109001	su1l512	ATRM	LP-AN-TRM:AE-H	su109001a:ATRM	Critical F: 3.1059	0.354335	0.338436	0.307229	1.886901	0.519139	1.999873	97.0	3.6	183.8	-41.8	191.0	48.0
