tab	er_samples
er_citation_names	er_location_name	er_site_name	er_sample_name	sample_class	sample_lithology	sample_dip	sample_azimuth	sample_declination_correction	sample_height
This study	Skouriotissa Vouppes	su107602	su107602	Archeologic	Not Specified	0	0	0	15.333
This study	Skouriotissa Vouppes	su108402	su108402	Archeologic	Not Specified	0	0	0	-1.520
This study	Skouriotissa Vouppes	su108801	su108801	Archeologic	Not Specified	0	0	0	-1.899
This study	Skouriotissa Vouppes	su108901	su108901	Archeologic	Not Specified	0	0	0	-0.168
This study	Skouriotissa Vouppes	su109001	su109001	Archeologic	Not Specified	0	0	0	0.015
This study	Skouriotissa Vouppes	su109101	su109101	Archeologic	Not Specified	0	0	0	14.460
This study	Skouriotissa Vouppes	su109102	su109102	Archeologic	Not Specified	0	0	0	14.460
This study	Skouriotissa Vouppes	su109201	su109201	Archeologic	Not Specified	0	0	0	14.276
This study	Skouriotissa Vouppes	su109301	su109301	Archeologic	Not Specified	0	0	0	13.838
This study	Skouriotissa Vouppes	su109302	su109302	Archeologic	Not Specified	0	0	0	13.838
This study	Skouriotissa Vouppes	su109401	su109401	Archeologic	Not Specified	0	0	0	13.555
This study	Skouriotissa Vouppes	su109501	su109501	Archeologic	Not Specified	0	0	0	13.256
This study	Skouriotissa Vouppes	su109701	su109701	Archeologic	Not Specified	0	0	0	13.093
This study	Skouriotissa Vouppes	su109702	su109702	Archeologic	Not Specified	0	0	0	13.093
This study	Skouriotissa Vouppes	su109801	su109801	Archeologic	Not Specified	0	0	0	11.406
This study	Skouriotissa Vouppes	su110001	su110001	Archeologic	Not Specified	0	0	0	10.936
This study	Skouriotissa Vouppes	su110002	su110002	Archeologic	Not Specified	0	0	0	10.936
This study	Skouriotissa Vouppes	su110101	su110101	Archeologic	Not Specified	0	0	0	10.816
This study	Skouriotissa Vouppes	su110201	su110201	Archeologic	Not Specified	0	0	0	11.563
This study	Skouriotissa Vouppes	su110301	su110301	Archeologic	Not Specified	0	0	0	11.989
This study	Skouriotissa Vouppes	su110401	su110401	Archeologic	Not Specified	0	0	0	11.898
This study	Skouriotissa Vouppes	su110402	su110402	Archeologic	Not Specified	0	0	0	11.898
This study	Skouriotissa Vouppes	su110501	su110501	Archeologic	Not Specified	0	0	0	9.558
This study	Skouriotissa Vouppes	su110502	su110502	Archeologic	Not Specified	0	0	0	9.558
This study	Skouriotissa Vouppes	su110701	su110701	Archeologic	Not Specified	0	0	0	9.197
This study	Skouriotissa Vouppes	su110801	su110801	Archeologic	Not Specified	0	0	0	8.753
This study	Skouriotissa Vouppes	su111401	su111401	Archeologic	Not Specified	0	0	0	7.560
This study	Skouriotissa Vouppes	su111501	su111501	Archeologic	Not Specified	0	0	0	7.386
This study	Skouriotissa Vouppes	su111601	su111601	Archeologic	Not Specified	0	0	0	7.227
This study	Skouriotissa Vouppes	su111702	su111702	Archeologic	Not Specified	0	0	0	7.203
This study	Skouriotissa Vouppes	su111801	su111801	Archeologic	Not Specified	0	0	0	6.866
