tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lithology	sample_type
This study	Leg 37	335	Hole= 335 - Core= 9 - Section= 4 - cm= 127	0335x094127	0335x	SP-SS-C	Igneous : Extrusive : Submarine	491.77	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 9 - Section= 4 - cm= 129	0335x094129	0335x	SP-SS-C	Igneous : Extrusive : Submarine	491.79	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 10 - Section= 1 - cm= 145	0335x101145	0335x	SP-SS-C	Igneous : Extrusive : Submarine	496.95	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 10 - Section= 2 - cm= 95	0335x102095	0335x	SP-SS-C	Igneous : Extrusive : Submarine	497.95	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 10 - Section= 3 - cm= 141	0335x103141	0335x	SP-SS-C	Igneous : Extrusive : Submarine	499.91	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 12 - Section= 1 - cm= 103	0335x121103	0335x	SP-SS-C	Igneous : Extrusive : Submarine	515.53	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 12 - Section= 2 - cm= 117	0335x122117	0335x	SP-SS-C	Igneous : Extrusive : Submarine	517.17	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 13 - Section= 1 - cm= 54	0335x131054	0335x	SP-SS-C	Igneous : Extrusive : Submarine	524.54	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 13 - Section= 2 - cm= 54	0335x132054	0335x	SP-SS-C	Igneous : Extrusive : Submarine	526.04	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 13 - Section= 3 - cm= 6	0335x133006	0335x	SP-SS-C	Igneous : Extrusive : Submarine	527.06	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 14 - Section= 1 - cm= 75	0335x141075	0335x	SP-SS-C	Igneous : Extrusive : Submarine	534.25	Basalt	pillow : glassy margin
This study	Leg 37	335	Hole= 335 - Core= 14 - Section= 2 - cm= 49	0335x142049	0335x	SP-SS-C	Igneous : Extrusive : Submarine	535.49	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 17 - Section= 1 - cm= 145	0395a171p11	0395a	SP-SS-C	Igneous : Extrusive : Submarine	211.97	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 26 - Section= 2 - cm= 55	0395a262p8a	0395a	SP-SS-C	Igneous : Extrusive : Submarine	290.84	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 26 - Section= 2 - cm= 60	0395a262p8b	0395a	SP-SS-C	Igneous : Extrusive : Submarine	290.89	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 30 - Section= 1 - cm= 25	0395a301p01	0395a	SP-SS-C	Igneous : Extrusive : Submarine	327.12	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 33 - Section= 2 - cm= 60	0395a332p14	0395a	SP-SS-C	Igneous : Extrusive : Submarine	356.1	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 41 - Section= 1 - cm= 75	0395a411p02	0395a	SP-SS-C	Igneous : Extrusive : Submarine	428.8	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 41 - Section= 1 - cm= 80	0395a411p03	0395a	SP-SS-C	Igneous : Extrusive : Submarine	428.85	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 51 - Section= 2 - cm= 110	0395a512p16	0395a	SP-SS-C	Igneous : Extrusive : Submarine	525.57	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 54 - Section= 1 - cm= 50	0395a541p6a	0395a	SP-SS-C	Igneous : Extrusive : Submarine	545.01	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 54 - Section= 1 - cm= 60	0395a541p6b	0395a	SP-SS-C	Igneous : Extrusive : Submarine	545.11	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 54 - Section= 2 - cm= 60	0395a542p08	0395a	SP-SS-C	Igneous : Extrusive : Submarine	546.61	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 57 - Section= 1 - cm= 125	0395a571p17	0395a	SP-SS-C	Igneous : Extrusive : Submarine	571.33	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 60 - Section= 1 - cm= 70	0395a601p08	0395a	SP-SS-C	Igneous : Extrusive : Submarine	599.23	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 66 - Section= 1 - cm= 0	0395a661000	0395a	SP-SS-C	Igneous : Extrusive : Submarine	645.17	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395a - Core= 67 - Section= 2 - cm= 0	0395a672000	0395a	SP-SS-C	Igneous : Extrusive : Submarine	656.2	Basalt	pillow : glassy margin
This study	Leg 45	395	Hole= 395 - Core= 11 - Section= 1 - cm= 160	0395x111p11	0395x	SP-SS-C	Igneous : Extrusive : Submarine	94.83	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 11 - Section= 2 - cm= 39	0396b112039	0396b	SP-SS-C	Igneous : Extrusive : Submarine	213.89	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 11 - Section= 2 - cm= 38	0396b112p4b	0396b	SP-SS-C	Igneous : Extrusive : Submarine	213.88	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 12 - Section= 1 - cm= 46	0396b121046	0396b	SP-SS-C	Igneous : Extrusive : Submarine	214.96	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 14 - Section= 1 - cm= 28	0396b141028	0396b	SP-SS-C	Igneous : Extrusive : Submarine	225.78	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 14 - Section= 1 - cm= 5	0396b141p1b	0396b	SP-SS-C	Igneous : Extrusive : Submarine	225.55	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 14 - Section= 3 - cm= 31	0396b143031	0396b	SP-SS-C	Igneous : Extrusive : Submarine	228.81	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 15 - Section= 1 - cm= 39	0396b151039	0396b	SP-SS-C	Igneous : Extrusive : Submarine	235.39	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 20 - Section= 1 - cm= 133	0396b201133	0396b	SP-SS-C	Igneous : Extrusive : Submarine	287.83	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 24 - Section= 1 - cm= 24	0396b241024	0396b	SP-SS-C	Igneous : Extrusive : Submarine	324.74	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 24 - Section= 1 - cm= 125	0396b241p3b	0396b	SP-SS-C	Igneous : Extrusive : Submarine	325.75	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 26 - Section= 1 - cm= 5	0396b261p01	0396b	SP-SS-C	Igneous : Extrusive : Submarine	343.55	Basalt	pillow : glassy margin
This study	Leg 45	396	Hole= 396b - Core= 26 - Section= 1 - cm= 10	0396b261p1b	0396b	SP-SS-C	Igneous : Extrusive : Submarine	343.6	Basalt	pillow : glassy margin
This study	Leg 49	407	Hole= 407 - Core= 45 - Section= 4 - cm= 29	0407x454029	0407x	SP-SS-C	Igneous : Extrusive : Submarine	438.29	Basalt	pillow : glassy margin
This study	Leg 49	407	Hole= 407 - Core= 46 - Section= 2 - cm= 21	0407x462021	0407x	SP-SS-C	Igneous : Extrusive : Submarine	444.71	Basalt	pillow : glassy margin
This study	Leg 49	407	Hole= 407 - Core= 46 - Section= 3 - cm= 51	0407x463051	0407x	SP-SS-C	Igneous : Extrusive : Submarine	446.51	Basalt	pillow : glassy margin
This study	Leg 49	407	Hole= 407 - Core= 46 - Section= 4 - cm= 57	0407x464057	0407x	SP-SS-C	Igneous : Extrusive : Submarine	448.07	Basalt	pillow : glassy margin
This study	Leg 49	407	Hole= 407 - Core= 47 - Section= 3 - cm= 137	0407x473137	0407x	SP-SS-C	Igneous : Extrusive : Submarine	456.87	Basalt	pillow : glassy margin
This study	Leg 49	407	Hole= 407 - Core= 47 - Section= 4 - cm= 86	0407x474086	0407x	SP-SS-C	Igneous : Extrusive : Submarine	457.86	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 1 - Section= 7 - cm= 4	0410a017004	0410a	SP-SS-C	Igneous : Extrusive : Submarine	9.04	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 2 - Section= 2 - cm= 125	0410a022125	0410a	SP-SS-C	Igneous : Extrusive : Submarine	10.25	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 2 - Section= 4 - cm= 81	0410a024081	0410a	SP-SS-C	Igneous : Extrusive : Submarine	12.81	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 2 - Section= 5 - cm= 13	0410a025013	0410a	SP-SS-C	Igneous : Extrusive : Submarine	13.63	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 3 - Section= 1 - cm= 134	0410a031134	0410a	SP-SS-C	Igneous : Extrusive : Submarine	18.34	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 4 - Section= 2 - cm= 8	0410a042008	0410a	SP-SS-C	Igneous : Extrusive : Submarine	28.08	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 4 - Section= 3 - cm= 26	0410a043026	0410a	SP-SS-C	Igneous : Extrusive : Submarine	29.76	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 6 - Section= 3 - cm= 45	0410a063045	0410a	SP-SS-C	Igneous : Extrusive : Submarine	48.95	Basalt	pillow : glassy margin
This study	Leg 49	410	Hole= 410a - Core= 37 - Section= 1 - cm= 106	0410a371106	0410a	SP-SS-C	Igneous : Extrusive : Submarine	341.06	Basalt	pillow : glassy margin
This study	Legs 51-53	417	Hole= 417d - Core= 2 - Section= 2 - cm= 40	0417d022p2a	0417d	SP-SS-C	Igneous : Extrusive : Submarine	1.9	Basalt	pillow : glassy margin
This study	Legs 51-53	417	Hole= 417d - Core= 2 - Section= 2 - cm= 50	0417d022p2b	0417d	SP-SS-C	Igneous : Extrusive : Submarine	2	Basalt	pillow : glassy margin
This study	Legs 51-53	417	Hole= 417d - Core= 2 - Section= 2 - cm= 60	0417d022p2d	0417d	SP-SS-C	Igneous : Extrusive : Submarine	2.1	Basalt	pillow : glassy margin
This study	Legs 51-53	417	Hole= 417d - Core= 2 - Section= 2 - cm= 70	0417d022p2e	0417d	SP-SS-C	Igneous : Extrusive : Submarine	2.2	Basalt	pillow : glassy margin
This study	Legs 51-53	417	Hole= 417d - Core= 2 - Section= 2 - cm= 100	0417d022p4a	0417d	SP-SS-C	Igneous : Extrusive : Submarine	2.5	Basalt	pillow : glassy margin
This study	Legs 51-53	417	Hole= 417d - Core= 2 - Section= 2 - cm= 120	0417d022p4c	0417d	SP-SS-C	Igneous : Extrusive : Submarine	2.7	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 15 - Section= 8 - cm= 0	0418a015p2a	0418a	SP-SS-C	Igneous : Extrusive : Submarine	121.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 30 - Section= 8 - cm= 0	0418a030p1c	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 3 - Section= 8 - cm= 0	0418a030p1d	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 3 - Section= 8 - cm= 0	0418a035p2a	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 3 - Section= 8 - cm= 0	0418a035p2b	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 3 - Section= 8 - cm= 0	0418a035p2c	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 3 - Section= 8 - cm= 0	0418a035p2d	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 6 - Section= 8 - cm= 0	0418a066001	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 6 - Section= 8 - cm= 0	0418a066004	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Legs 51-53	418	Hole= 418a - Core= 6 - Section= 8 - cm= 0	0418a067003	0418a	SP-SS-C	Igneous : Extrusive : Submarine	140.5	Basalt	pillow : glassy margin
This study	Leg 54	420	Hole= 420 - Core= 14 - Section= 1 - cm= 0	0420x141000	0420x	SP-SS-C	Igneous : Extrusive : Submarine	118.5	Basalt	pillow : glassy margin
This study	Leg 54	420	Hole= 420 - Core= 17 - Section= 1 - cm= 0	0420x171000	0420x	SP-SS-C	Igneous : Extrusive : Submarine	141.5	Basalt	pillow : glassy margin
This study	Leg 54	423	Hole= 423 - Core= 5 - Section= 8 - cm= 18	0423x05cp02	0423x	SP-SS-C	Igneous : Extrusive : Submarine	43.18	Basalt	pillow : glassy margin
This study	Leg 54	423	Hole= 423 - Core= 6 - Section= 1 - cm= 35	0423x061p03	0423x	SP-SS-C	Igneous : Extrusive : Submarine	42.35	Basalt	pillow : glassy margin
This study	Leg 54	423	Hole= 423 - Core= 8 - Section= 1 - cm= 34	0423x081p01	0423x	SP-SS-C	Igneous : Extrusive : Submarine	51.84	Basalt	pillow : glassy margin
This study	Leg 59	447	Hole= 447a - Core= 14 - Section= 3 - cm= 76	0447a143076	0447a	SP-SS-C	Igneous : Extrusive : Submarine	116.76	Basalt	pillow : glassy margin
This study	Leg 59	447	Hole= 447a - Core= 17 - Section= 2 - cm= 54	0447a172054	0447a	SP-SS-C	Igneous : Extrusive : Submarine	142.04	Basalt	pillow : glassy margin
This study	Leg 59	447	Hole= 447a - Core= 18 - Section= 2 - cm= 119	0447a182119	0447a	SP-SS-C	Igneous : Extrusive : Submarine	151.69	Basalt	pillow : glassy margin
This study	Leg 59	447	Hole= 447a - Core= 25 - Section= 4 - cm= 1	0447a254001	0447a	SP-SS-C	Igneous : Extrusive : Submarine	195.51	Basalt	pillow : glassy margin
This study	Leg 59	448	Hole= 448a - Core= 16 - Section= 2 - cm= 62	0448a162p8d	0448a	SP-SS-C	Igneous : Extrusive : Submarine	539.12	Basalt	pillow : glassy margin
This study	Leg 59	448	Hole= 448a - Core= 17 - Section= 1 - cm= 5	0448a171p1w	0448a	SP-SS-C	Igneous : Extrusive : Submarine	546.55	Basalt	pillow : glassy margin
This study	Leg 60	456	Hole= 456a - Core= 13 - Section= 1 - cm= 56	0456a131p06	0456a	SP-SS-C	Igneous : Extrusive : Submarine	133.56	Basalt	pillow : glassy margin
This study	Leg 60	458	Hole= 458a - Core= 46 - Section= 1 - cm= 107	0458a461p9a	0458a	SP-SS-C	Igneous : Extrusive : Submarine	428.57	Basalt	pillow : glassy margin
This study	leg 61	462	Hole= 462a - Core= 39 - Section= 4 - cm= 40	0462a394p07	0462a	SP-SS-C	Igneous : Extrusive : Submarine	696.9	Basalt	sill margin
This study	leg 61	462	Hole= 462a - Core= 39 - Section= 4 - cm= 115	0462a394p10	0462a	SP-SS-C	Igneous : Extrusive : Submarine	697.65	Basalt	sill margin
This study	leg 61	462	Hole= 462a - Core= 54 - Section= 1 - cm= 137	0462a541p8c	0462a	SP-SS-C	Igneous : Extrusive : Submarine	798.87	Basalt	sill margin
This study	leg 61	462	Hole= 462a - Core= 58 - Section= 1 - cm= 125	0462a581p8b	0462a	SP-SS-C	Igneous : Extrusive : Submarine	825.75	Basalt	sill margin
This study	leg 61	462	Hole= 462a - Core= 58 - Section= 1 - cm= 125	0462a581p8c	0462a	SP-SS-C	Igneous : Extrusive : Submarine	825.75	Basalt	sill margin
This study	leg 61	462	Hole= 462a - Core= 59 - Section= 6 - cm= 85	0462a596p5a	0462a	SP-SS-C	Igneous : Extrusive : Submarine	841.85	Basalt	sill margin
This study	leg 61	462	Hole= 462a - Core= 62 - Section= 3 - cm= 119	0462a623p7b	0462a	SP-SS-C	Igneous : Extrusive : Submarine	864.69	Basalt	sill margin
This study	leg 61	462	Hole= 462a - Core= 69 - Section= 3 - cm= 34	0462a693p03	0462a	SP-SS-C	Igneous : Extrusive : Submarine	913.34	Basalt	sill margin
This study	Leg 63	469	Hole= 469 - Core= 46 - Section= 1 - cm= 5	0469x461p01	0469x	SP-SS-C	Igneous : Extrusive : Submarine	410.05	Basalt	pillow : glassy margin
This study	Leg 63	470	Hole= 470a - Core= 8 - Section= 1 - cm= 91	0470a081091	0470a	SP-SS-C	Igneous : Extrusive : Submarine	171.91	Basalt	pillow : glassy margin
This study	Leg 63	470	Hole= 470a - Core= 8 - Section= 5 - cm= 75	0470a085075	0470a	SP-SS-C	Igneous : Extrusive : Submarine	177.75	Basalt	pillow : glassy margin
This study	Leg 63	470	Hole= 470a - Core= 12 - Section= 1 - cm= 18	0470a121018	0470a	SP-SS-C	Igneous : Extrusive : Submarine	198.68	Basalt	pillow : glassy margin
This study	Leg 63	470	Hole= 470a - Core= 13 - Section= 1 - cm= 39	0470a131039	0470a	SP-SS-C	Igneous : Extrusive : Submarine	207.89	Basalt	pillow : glassy margin
This study	Leg 63	472	Hole= 472 - Core= 15 - Section= 2 - cm= 84	0472x152084	0472x	SP-SS-C	Igneous : Extrusive : Submarine	121.84	Basalt	pillow : glassy margin
This study	Leg 64	474	Hole= 474a - Core= 46 - Section= 3 - cm= 0	0474a463000	0474a	SP-SS-C	Igneous : Extrusive : Submarine	584	Basalt	pillow : glassy margin
This study	Leg 64	474	Hole= 474a - Core= 47 - Section= 3 - cm= 0	0474a473000	0474a	SP-SS-C	Igneous : Extrusive : Submarine	593	Basalt	pillow : glassy margin
This study	Leg 64	474	Hole= 474a - Core= 48 - Section= 1 - cm= 134	0474a481p13	0474a	SP-SS-C	Igneous : Extrusive : Submarine	600.34	Basalt	pillow : glassy margin
This study	Leg 64	474	Hole= 474a - Core= 48 - Section= 3 - cm= 5	0474a483p01	0474a	SP-SS-C	Igneous : Extrusive : Submarine	602.05	Basalt	pillow : glassy margin
This study	Leg 64	474	Hole= 474a - Core= 48 - Section= 4 - cm= 77	0474a484p09	0474a	SP-SS-C	Igneous : Extrusive : Submarine	604.27	Basalt	pillow : glassy margin
This study	Leg 64	474	Hole= 474a - Core= 49 - Section= 1 - cm= 0	0474a491000	0474a	SP-SS-C	Igneous : Extrusive : Submarine	608	Basalt	pillow : glassy margin
This study	Leg 64	474	Hole= 474a - Core= 49 - Section= 2 - cm= 65	0474a492p04	0474a	SP-SS-C	Igneous : Extrusive : Submarine	610.15	Basalt	pillow : glassy margin
This study	leg 65	482	Hole= 482d - Core= 11 - Section= 1 - cm= 50	0482d111p03	0482d	SP-SS-C	Igneous : Extrusive : Submarine	160	Basalt	pillow : glassy margin
This study	leg 65	482	Hole= 482d - Core= 11 - Section= 2 - cm= 45	0482d112p04	0482d	SP-SS-C	Igneous : Extrusive : Submarine	161.45	Basalt	pillow : glassy margin
