tab 	pmag_specimens
direction_type	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_Z	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drat	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_grade	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc	specimen_tilt_correction
l	unknown	This study	McMurdo	mc211h	mc211	mc211h1	mc211h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	1.2	-2.982	0.137	0.409	u	5.4	15.6		l	35.5	34.3	0.747	0.731	1.9		28.2	8.9472e-05	2.8	8	5	3.000e-05	12	3.9	0.8902	-1
l	unknown	This study	McMurdo	mc211i	mc211	mc211i1	mc211i1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.980e+02	3.730e+02	K	1.0	-2.409	0.094	0.227	u	5.9	1.7		l	29.2	18.8	0.812	0.764	0.8		17.8	7.2265e-05	3.5	8	5	3.000e-05	11	6.3	0.9474	-1
l	unknown	This study	McMurdo	mc214b	mc214	mc214b1	mc214b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	6.230e+02	K	0.0	-1.628	0.034	0.055	u	0.4	179.0		l	4.9	6.9	0.945	0.889	1.8		48.1	4.8841e-05	0.9	8	5	3.000e-05	4	21.0	0.9930	-1
l	unknown	This study	McMurdo	mc214d	mc214	mc214d1	mc214d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.428	0.034	0.049	u	0.2	168.9		l	3.8	6.0	0.995	0.898	1.1		3.0	4.2843e-05	1.9	11	5	3.000e-05	3	21.2	0.9895	-1
l	unknown	This study	McMurdo	mc214g	mc214	mc214g1	mc214g1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.460	0.034	0.049	u	0.0	167.1		l	3.8	6.9	0.998	0.931	2.2		-0.3	4.3812e-05	1.6	11	5	3.000e-05	3	21.4	0.9897	-1
l	unknown	This study	McMurdo	mc214h	mc214	mc214h1	mc214h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.443	0.041	0.060	u	0.6	177.6		l	2.1	3.6	0.986	0.929	1.3		13.7	4.3300e-05	1.5	11	5	3.000e-05	4	17.5	0.9847	-1
l	unknown	This study	McMurdo	mc214j	mc214	mc214j1	mc214j1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-1.342	0.045	0.061	u	0.1	173.5		l	4.5	13.7	0.999	0.890	0.9		12.9	4.0264e-05	2.7	11	5	3.000e-05	4	16.1	0.9815	-1
l	unknown	This study	McMurdo	mc215a	mc215	mc215a1	mc215a1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	1.4	-1.705	0.190	0.325	u	2.0	333.5		l	9.6	11.5	0.757	0.834	0.2		-68.8	5.1161e-05	2.6	7	5	3.000e-05	2	3.1	0.8271	-1
l	unknown	This study	McMurdo	mc215b	mc215	mc215b1	mc215b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	1.2	-1.693	0.151	0.256	u	3.1	345.3		l	20.4	22.4	0.731	0.787	2.3		-64.8	5.0803e-05	3.2	7	5	3.000e-05	2	3.7	0.8891	-1
l	unknown	This study	McMurdo	mc215c	mc215	mc215c1	mc215c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	6.730e+02	K	0.0	-0.542	0.179	0.097	u	0.9	339.9		l	19.2	5.0	0.707	0.382	0.6		-71.8	1.6248e-05	3.1	7	5	3.000e-05	5	3.1	0.8462	-1
