tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_alternatives	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type	specimen_volume	specimen_weight
This study	DSDP Site 522	15-3-010	15-3-010	3205	15-3-010	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.2	Not Specified	Sediment Layer	0.000001	0.001682
This study	DSDP Site 522	15-3-013	15-3-013	3206	15-3-013	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.23	Not Specified	Sediment Layer	0.000001	0.001695
This study	DSDP Site 522	15-3-015	15-3-015	3207	15-3-015	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.25	Not Specified	Sediment Layer	0.000001	0.000988
This study	DSDP Site 522	15-3-019	15-3-019	3208	15-3-019	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.29	Not Specified	Sediment Layer	0.000001	0.001682
This study	DSDP Site 522	15-3-022	15-3-022	3209	15-3-022	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.32	Not Specified	Sediment Layer	0.000001	0.001697
This study	DSDP Site 522	15-3-025	15-3-025	3210	15-3-025	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.34	Not Specified	Sediment Layer	0.000001	0.001723
This study	DSDP Site 522	15-3-028	15-3-028	3211	15-3-028	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.38	Not Specified	Sediment Layer	0.000001	0.00186
This study	DSDP Site 522	15-3-031	15-3-031	3212	15-3-031	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.41	Not Specified	Sediment Layer	0.000001	0.001403
This study	DSDP Site 522	15-3-035	15-3-035	3213	15-3-035	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.44	Not Specified	Sediment Layer	0.000001	0.001774
This study	DSDP Site 522	15-3-038	15-3-038	3214	15-3-038	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.47	Not Specified	Sediment Layer	0.000001	0.00162
This study	DSDP Site 522	15-3-041	15-3-041	3215	15-3-041	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.5	Not Specified	Sediment Layer	0.000001	0.001792
This study	DSDP Site 522	15-3-044	15-3-044	3216	15-3-044	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.53	Not Specified	Sediment Layer	0.000001	0.001572
This study	DSDP Site 522	15-3-047	15-3-047	3217	15-3-047	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.56	Not Specified	Sediment Layer	0.000001	0.001842
This study	DSDP Site 522	15-3-051	15-3-051	3218	15-3-051	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.61	Not Specified	Sediment Layer	0.000001	0.001772
This study	DSDP Site 522	15-3-054	15-3-054	3219	15-3-054	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.63	Not Specified	Sediment Layer	0.000001	0.001967
This study	DSDP Site 522	15-3-057	15-3-057	3220	15-3-057	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.66	Not Specified	Sediment Layer	0.000001	0.001688
This study	DSDP Site 522	15-3-061	15-3-061	3221	15-3-061	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.71	Not Specified	Sediment Layer	0.000001	0.001462
This study	DSDP Site 522	15-3-064	15-3-064	3222	15-3-064	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.73	Not Specified	Sediment Layer	0.000001	0.001799
This study	DSDP Site 522	15-3-067	15-3-067	3223	15-3-067	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.76	Not Specified	Sediment Layer	0.000001	0.001763
This study	DSDP Site 522	15-3-071	15-3-071	3224	15-3-071	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.8	Not Specified	Sediment Layer	0.000001	0.001379
This study	DSDP Site 522	15-3-075	15-3-075	3225	15-3-075	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.84	Not Specified	Sediment Layer	0.000001	0.001492
This study	DSDP Site 522	15-3-078	15-3-078	3226	15-3-078	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.87	Not Specified	Sediment Layer	0.000001	0.001904
This study	DSDP Site 522	15-3-080	15-3-080	3227	15-3-080	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.9	Not Specified	Sediment Layer	0.000001	0.001605
This study	DSDP Site 522	15-3-083	15-3-083	3228	15-3-083	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.93	Not Specified	Sediment Layer	0.000001	0.001389
This study	DSDP Site 522	15-3-086	15-3-086	3229	15-3-086	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.96	Not Specified	Sediment Layer	0.000001	0.001382
This study	DSDP Site 522	15-3-089	15-3-089	3230	15-3-089	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	58.99	Not Specified	Sediment Layer	0.000001	0.001481
This study	DSDP Site 522	15-3-092	15-3-092	3231	15-3-092	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.02	Not Specified	Sediment Layer	0.000001	0.001753
This study	DSDP Site 522	15-3-096	15-3-096	3232	15-3-096	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.05	Not Specified	Sediment Layer	0.000001	0.001628
This study	DSDP Site 522	15-3-098	15-3-098	3233	15-3-098	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.07	Not Specified	Sediment Layer	0.000001	0.001815
This study	DSDP Site 522	15-3-101	15-3-101	3234	15-3-101	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.11	Not Specified	Sediment Layer	0.000001	0.001579
This study	DSDP Site 522	15-3-104	15-3-104	3235	15-3-104	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.14	Not Specified	Sediment Layer	0.000001	0.001623
This study	DSDP Site 522	15-3-107	15-3-107	3236	15-3-107	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.16	Not Specified	Sediment Layer	0.000001	0.000968
This study	DSDP Site 522	15-3-109	15-3-109	3237	15-3-109	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.19	Not Specified	Sediment Layer	0.000001	0.001645
This study	DSDP Site 522	15-3-112	15-3-112	3238	15-3-112	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.22	Not Specified	Sediment Layer	0.000001	0.00169
This study	DSDP Site 522	15-3-115	15-3-115	3239	15-3-115	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.25	Not Specified	Sediment Layer	0.000001	0.001753
This study	DSDP Site 522	15-3-118	15-3-118	3240	15-3-118	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.28	Not Specified	Sediment Layer	0.000001	0.001738
This study	DSDP Site 522	15-3-122	15-3-122	3241	15-3-122	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.31	Not Specified	Sediment Layer	0.000001	0.001628
This study	DSDP Site 522	15-3-125	15-3-125	3242	15-3-125	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.34	Not Specified	Sediment Layer	0.000001	0.001411
This study	DSDP Site 522	15-3-129	15-3-129	3244	15-3-129	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	59.38	Not Specified	Sediment Layer	0.000001	0.001446
This study	DSDP Site 522	16-1-098	16-1-098	2999	16-1-098	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.47	Not Specified	Sediment Layer	0.000001	0.001039
This study	DSDP Site 522	16-1-101	16-1-101	3000	16-1-101	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.51	Not Specified	Sediment Layer	0.000001	0.001568
This study	DSDP Site 522	16-1-104	16-1-104	3001	16-1-104	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.54	Not Specified	Sediment Layer	0.000001	0.001656
This study	DSDP Site 522	16-1-108	16-1-108	3002	16-1-108	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.57	Not Specified	Sediment Layer	0.000001	0.001669
This study	DSDP Site 522	16-1-110	16-1-110	3003	16-1-110	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.6	Not Specified	Sediment Layer	0.000001	0.001407
This study	DSDP Site 522	16-1-115	16-1-115	3004	16-1-115	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.64	Not Specified	Sediment Layer	0.000001	0.001608
This study	DSDP Site 522	16-1-119	16-1-119	3005	16-1-119	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.68	Not Specified	Sediment Layer	0.000001	0.001586
This study	DSDP Site 522	16-1-122	16-1-122	3006	16-1-122	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.72	Not Specified	Sediment Layer	0.000001	0.001676
This study	DSDP Site 522	16-1-125	16-1-125	3007	16-1-125	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.74	Not Specified	Sediment Layer	0.000001	0.001587
This study	DSDP Site 522	16-1-128	16-1-128	3008	16-1-128	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.77	Not Specified	Sediment Layer	0.000001	0.001935
This study	DSDP Site 522	16-1-131	16-1-131	3009	16-1-131	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	60.8	Not Specified	Sediment Layer	0.000001	0.001489
