tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lat	sample_lithology	sample_lon	sample_type
This study	DSDP Site 522	15-2-067	15-2-067	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.26	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-070	15-2-070	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.29	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-073	15-2-073	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.32	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-076	15-2-076	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.36	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-079	15-2-079	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.39	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-082	15-2-082	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.42	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-085	15-2-085	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.45	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-088	15-2-088	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.48	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-091	15-2-091	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.51	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-095	15-2-095	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.54	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-098	15-2-098	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.57	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-101	15-2-101	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.6	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-104	15-2-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.63	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-107	15-2-107	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.66	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-109	15-2-109	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.68	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-113	15-2-113	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.73	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-116	15-2-116	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.76	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-119	15-2-119	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.79	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-123	15-2-123	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.82	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-2-126	15-2-126	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	57.85	-27	Not Specified	355	Sediment Layer
